id,country,city,languages,texts,repository,repository id#,city of origin (provenance),country of origin (provenance),note,NAASCAL URL,Image URL-ish
1,Egypt,Aswan,Coptic,,Nubian Museum,Special Number 168,,,,http://www.nasscal.com/manuscripta-apocryphorum/aswan-nubian-museum-special-number-168/,
2,Egypt,Cairo,Arabic,,Coptic Museum,6421(I),,,,http://www.nasscal.com/manuscripta-apocryphorum/cairo-coptic-museum-6421i/,
3,Egypt,Cairo,Arabic,,Coptic Museum,6539(D),,,,http://www.nasscal.com/manuscripta-apocryphorum/cairo-coptic-museum-6539d/,
4,Egypt,Cairo,Coptic,,Coptic Museum,4851,Nag Hammadi,Egypt,Nag Hammadi Codex III,http://www.nasscal.com/manuscripta-apocryphorum/cairo-coptic-museum-inv-4851/,
5,Egypt,Cairo,Coptic,,Coptic Museum,10546,Nag Hammadi,Egypt,Nag Hammadi Codex VII,http://cairo%2C%20coptic%20museum%2C%20inv.%2010546%20%28nag%20hammadi%20codex%20vii%29/,
6,Egypt,Cairo,Coptic,,Coptic Museum,10548,Nag Hammadi,Egypt,Nag Hammadi Codex V,http://www.nasscal.com/manuscripta-apocryphorum/cairo-coptic-museum-inv-10548-nag-hammadi-codex-v/,
7,Egypt,Cairo,Coptic,,Coptic Museum,10549,Nag Hammadi,Egypt,Nag Hammadi Codex VI,http://www.nasscal.com/manuscripta-apocryphorum/cairo-coptic-museum-inv-10549-nag-hammadi-codex-vi/,
8,Egypt,Cairo,Greek,,Museum of Egyptian Antiquities,P. Cair. 10759,,,,http://www.nasscal.com/manuscripta-apocryphorum/cairo-museum-of-egyptian-antiquities-p-cair-10759/,
9,Egypt,Mount Sinai,Arabic,,Saint Catharine's Monastery,ar. 539,,,,http://www.nasscal.com/manuscripta-apocryphorum/mount-sinai-st-catharines-monastery-arab-539/,
10,Egypt,Mount Sinai,Greek,,Saint Catharine's Monastery,gr. 432,,,,http://www.nasscal.com/mount-sinai-st-catherines-monastery-gr-432/,
11,Egypt,Mount Sinai,Greek,,Saint Catharine's Monastery,gr. 453,,,,http://www.nasscal.com/manuscripta-apocryphorum/mount-sinai-st-catherines-monastery-gr-453/,
12,Egypt,Mount Sinai,Greek,,Saint Catharine's Monastery,gr. 497,,,,http://www.nasscal.com/manuscripta-apocryphorum/mount-sinai-st-catherines-monastery-gr-497/,
13,Egypt,Mount Sinai,Greek,,Saint Catharine's Monastery,gr. 532,,,,http://www.nasscal.com/manuscripta-apocryphorum/mount-sinai-st-catherines-monastery-gr-532/,
14,Greece,Athens,Greek,,Ethnikê Bibliothêkê tês Hellados,gr. 1007,,,,http://www.nasscal.com/manuscripta-apocryphorum/athens-ethnike-bibliotheke-tes-hellados-gr-1007/,
15,Germany,Berlin,Coptic,,"Ägyptisches Museum and Papyrussammlung, Staatliche Museen",P. 8502,,,,http://www.nasscal.com/manuscripta-apocryphorum/berlin-agyptisches-museum-and-papyrussammlung-staatliche-museen-p-8502/,
16,Germany,Berlin,Old Nubian,,"Staatsbibliothek zu Berlin–Preussischer Kulturbesitz, Orientabteilung",Ms. orient. quart. 1020,,,,http://www.nasscal.com/manuscripta-apocryphorum/staatsbibliothek-zu-berlin-preussischer-kulturbesitz-orientabteilung-ms-orient-quart-1020/,
17,Germany,Berlin,Syriac,,Staatsbibliothek zu Berlin,Or. Oct. 1130,,,,http://www.nasscal.com/manuscripta-apocryphorum/berlin-staatsbibliothek-zu-berlin-or-oct-1130/,
18,Germany,Berlin,Syriac,,Staatsbibliothek zu Berlin,Syr. 74,,,,http://www.nasscal.com/manuscripta-apocryphorum/berlin-staatsbibliothek-zu-berlin-syr-74/,
19,United Kingdom,Birmingham,Arabic,,"Edgbaston, University of Birmingham",Mingana Arab. 94,,,"19, 20, 21, 22 are all one entry on Manuscripta Apocryphorum",https://www.nasscal.com/manuscripta-apocryphorum/edgbaston-university-of-birmingham-mingana-arab-94-130-148-149/,
20,United Kingdom,Birmingham,Arabic,,"Edgbaston, University of Birmingham",Add. Arab. 130,,,"19, 20, 21, 22 are all one entry on Manuscripta Apocryphorum",https://www.nasscal.com/manuscripta-apocryphorum/edgbaston-university-of-birmingham-mingana-arab-94-130-148-149/,
21,United Kingdom,Birmingham,Arabic,,"Edgbaston, University of Birmingham",Add. Arab. 148,,,"19, 20, 21, 22 are all one entry on Manuscripta Apocryphorum",https://www.nasscal.com/manuscripta-apocryphorum/edgbaston-university-of-birmingham-mingana-arab-94-130-148-149/,
22,United Kingdom,Birmingham,Arabic,,"Edgbaston, University of Birmingham",Add. Arab. 149,,,"19, 20, 21, 22 are all one entry on Manuscripta Apocryphorum",https://www.nasscal.com/manuscripta-apocryphorum/edgbaston-university-of-birmingham-mingana-arab-94-130-148-149/,
23,United Kingdom,Birmingham,Syriac,,"Edgbaston, University of Birmingham",Mingana Syr. 5,,,,http://www.nasscal.com/manuscripta-apocryphorum/edgbaston-university-of-birmingham-mingana-syr-5/,
24,United Kingdom,Birmingham,Syriac,,"Edgbaston, University of Birmingham",Mingana Syr. 48,,,,http://www.nasscal.com/manuscripta-apocryphorum/edgbaston-university-of-birmingham-mingana-syr-48/,
25,United Kingdom,Birmingham,Syriac,,"Edgbaston, University of Birmingham",Mingana Syr. 105,,,,http://www.nasscal.com/manuscripta-apocryphorum/edgbaston-university-of-birmingham-mingana-syr-105/,
26,United Kingdom,Birmingham,Syriac,,"Edgbaston, University of Birmingham",Mingana Syr. 184,,,,http://www.nasscal.com/manuscripta-apocryphorum/edgbaston-university-of-birmingham-mingana-syr-184/,
27,United Kingdom,Birmingham,Syriac,,"Edgbaston, University of Birmingham",Mingana Syr. 560,,,,http://www.nasscal.com/manuscripta-apocryphorum/edgbaston-university-of-birmingham-mingana-syr-560/,
28,United Kingdom,Cambridge,Greek,,Trinity College,O.8.33,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-trinity-college-o-8-33/,
29,United Kingdom,Cambridge,Syriac,,Cambridge University Library,Add. 2001,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-cambridge-university-library-add-2001/,
30,United Kingdom,Cambridge,Latin,,Corpus Christi College,66A,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-corpus-christi-college-66a/,https://exhibits.stanford.edu/parker
31,United Kingdom,Cambridge,Latin,,Corpus Christi College,196,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-corpus-christi-college-196/,https://exhibits.stanford.edu/parker
32,United Kingdom,Cambridge,Latin,,Corpus Christi College,275,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-corpus-christi-college-275/,https://exhibits.stanford.edu/parker
33,United Kingdom,Cambridge,Latin,,Corpus Christi College,288,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-corpus-christi-college-288/,https://exhibits.stanford.edu/parker
34,United Kingdom,Cambridge,Latin,,Corpus Christi College,323,,,,http://www.nasscal.com/cambridge-corpus-christi-college-323/,https://exhibits.stanford.edu/parker
35,United Kingdom,Cambridge,Latin,,Corpus Christi College,385,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-corpus-christi-college-385/,https://exhibits.stanford.edu/parker
36,United Kingdom,Cambridge,Latin,,Corpus Christi College,404,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-corpus-christi-college-404/,https://exhibits.stanford.edu/parker
37,United Kingdom,Cambridge,Latin,,Corpus Christi College,441,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-corpus-christi-college-441/,https://exhibits.stanford.edu/parker
38,United Kingdom,Cambridge,Latin,,Corpus Christi College,500,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-corpus-christi-college-500/,https://exhibits.stanford.edu/parker
39,Germany,Cologne,Greek,,Institut für Altertumskunde–University of Cologne,255,,,,http://www.nasscal.com/manuscripta-apocryphorum/cologne-institut-fur-altertumskunde-university-of-cologne-255/,
40,Switzerland,Cologny,Greek,,Bibliotheca Bodmeriana,Bodmer Miscellaneous Codex,,,,http://www.nasscal.com/manuscripta-apocryphorum/cologny-bodmer-library-miscellaneous-codex/,
41,France,Dijon,Greek,,Bibliothèque municipale,50,,,,http://www.nasscal.com/manuscripta-apocryphorum/dijon-bibliotheque-municipale-50/,"http://patrimoine.bm-dijon.fr/pleade/ead.html?id=FR212316101_collection_manuscrits#!{%22content%22:[%22FR212316101_collection_manuscrits_e0000011%22,true,%22%22]}"
42,Germany,Dresden,Greek,,Sächsische Landesbibliothek,A 187,,,,http://xn--dresden%2C%20schsische%20landesbibliothek%2C%20a%20187-tre/,
43,Germany,Einsiedeln,Latin,,Stiftsbibliothek,250 (382),,,,http://www.nasscal.com/manuscripta-apocryphorum/einsiedeln-stiftsbibliothek-250-382/,
44,Switzerland,Engelberg,Latin,,Stiftsbibliothek,250 (382),,,,http://www.nasscal.com/manuscripta-apocryphorum/engelberg-stiftsbibliothek-2/,
45,Germany,Göttingen,Syriac,,Universitätsbibliothek,Syr. 10,,,,http://www.nasscal.com/manuscripta-apocryphorum/gottingen-universitatsbibliothek-syr-10/,
46,Austria,Graz,Latin,,Universitätsbibliothek,65,,,,http://www.nasscal.com/manuscripta-apocryphorum/graz-universitatsbibliothek-65/,
47,Austria,Graz,Latin,,Universitätsbibliothek,83,,,,http://www.nasscal.com/manuscripta-apocryphorum/graz-universitatsbibliothek-83/,
48,Germany,Heidelberg,Coptic,,Universität Heidelberg,inv. Kopt. 300,,,,http://www.nasscal.com/manuscripta-apocryphorum/heidelberg-universitat-heidelberg-inv-kopt-300301/,
49,Germany,Heidelberg,Coptic,,Universität Heidelberg,inv. Kopt. 301,,,,http://www.nasscal.com/manuscripta-apocryphorum/heidelberg-universitat-heidelberg-inv-kopt-300301/,
50,Germany,Karlsruhe,Latin,,Badische Landesbibliothek,Aug. 63,,,,http://www.nasscal.com/manuscripta-apocryphorum/karlsruhe-badische-landesbibliothek-aug-63/,
51,Germany,Karlsruhe,Latin,,Badische Landesbibliothek,Fragment 94,,,,http://www.nasscal.com/manuscripta-apocryphorum/karlsruhe-badische-landesbibliothek-fragment-94/,
52,Germany,Karlsruhe,Latin,,Badische Landesbibliothek,K 506,,,,http://www.nasscal.com/manuscripta-apocryphorum/karlsruhe-badische-landesbibliothek-k-506/,
53,United Kingdom,London,Coptic,,British Library,Or. 6804,,,,https://www.nasscal.com/manuscripta-apocryphorum/london-british-library-or-6804/,https://www.bl.uk/manuscripts/
54,United Kingdom,London,Coptic,,British Library,Or. 7025,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-or-7025/,https://www.bl.uk/manuscripts/
55,United Kingdom,London,French,,British Library,Add. 10289,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-add-10289/,https://www.bl.uk/manuscripts/
56,United Kingdom,London,French,,British Library,Add. 89066/1,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-add-ms-89066-1/,https://www.bl.uk/manuscripts/
57,United Kingdom,London,Greek,,British Library,Add. 10073,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-add-10073/,https://www.bl.uk/manuscripts/
58,United Kingdom,London,Greek,,British Library,Add. 11870,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-add-11870/,https://www.bl.uk/manuscripts/
59,United Kingdom,London,Greek,,British Library,Add. 26114,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-add-26114/,https://www.bl.uk/manuscripts/
60,United Kingdom,London,Greek,,British Library,Add. 36654,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-add-36654/,https://www.bl.uk/manuscripts/
61,United Kingdom,London,Greek,,British Library,Pap. 2041 (P. Oxy. VI 849),,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-pap-2041-p-oxy-vi-849/,https://www.bl.uk/manuscripts/
62,United Kingdom,London,Latin,,British Library,Harley 2472,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-harley-2472/,https://www.bl.uk/manuscripts/
63,United Kingdom,London,Latin,,British Library,Harley 2729,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-harley-2729/,https://www.bl.uk/manuscripts/
64,United Kingdom,London,Latin,,British Library,Harley 3199,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-harley-3199/,https://www.bl.uk/manuscripts/
65,United Kingdom,London,Latin,,British Library,Harley 5556,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-harley-5556/,https://www.bl.uk/manuscripts/
66,United Kingdom,London,Latin,,British Library,Royal 2.A.XX,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-royal-2-a-xx/,https://www.bl.uk/manuscripts/
67,United Kingdom,London,Syriac,,British Library,Add. 12150,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-add-12150/,https://www.bl.uk/manuscripts/
68,United Kingdom,London,Syriac,,British Library,Add. 14484,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-add-14484/,https://www.bl.uk/manuscripts/
69,United Kingdom,London,Syriac,,British Library,Add. 17192,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-british-library-add-17192/,https://www.bl.uk/manuscripts/
70,United Kingdom,London,Greek,,Highgate School,II.29,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-highgate-school-ii-29/,
71,United Kingdom,London,Greek,,Lambeth Palace Library,1197,,,,http://www.nasscal.com/manuscripta-apocryphorum/london-lambeth-palace-library-1197/,
72,United Kingdom,Manchester,Greek,,John Rylands Library,Gr. III 463 (P. Ryl. 463),,,,http://www.nasscal.com/manuscripta-apocryphorum/manchester-john-rylands-library-gr-iii-463-p-ryl-463/,
73,Italy,Messina,Greek,,Biblioteca Universitaria,San Salvatoris 30,,,,http://www.nasscal.com/manuscripta-apocryphorum/messina-biblioteca-universitaria-san-salvatoris-30/,
74,Italy,Milan,Arabic,,Biblioteca Ambrosiana,G 11 sup,,,,http://www.nasscal.com/manuscripta-apocryphorum/milan-biblioteca-ambrosiana-g-11-sup/,
75,Italy,Milan,Latin,,Biblioteca Ambrosiana,E 53 inf.,,,,http://www.nasscal.com/manuscripta-apocryphorum/milan-biblioteca-ambrosiana-e-53-inf/,
76,Germany,Munich,Latin,,Bayerische Staatsbibliothek,Clm 28189,,,,http://www.nasscal.com/manuscripta-apocryphorum/munich-bayerische-staatsbibliothek-clm-28189/,
77,United Kingdom,Oxford,Greek,,Sackler Library,Papyrology Rooms 23 3B 12/E(1) (P. Oxy. L 3525),,,,http://www.nasscal.com/manuscripta-apocryphorum/oxford-sackler-library-papyrology-rooms-23-3b-12-e1-p-oxy-l-3525/,
78,France,Paris,Greek,,Bibliothèque Nationale de France,Coislin 121,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-coislin-121/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
79,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 239,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-239/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
80,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 523,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-523/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
81,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 683,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-683/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
