id,country,city,languages,texts,repository,repository id#,city of origin (provenance),country of origin (provenance),note,NAASCAL URL,Image URL-ish
82,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 770,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-770/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
83,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 881,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-881/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
84,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 929,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-929/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
85,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 930,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-930/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
86,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 947,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-947/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
87,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 1176,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-1176/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
88,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 1454,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-1454/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
89,France,Paris,Greek,,Bibliothèque Nationale de France,gr. 1468,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-gr-1468/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
90,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 5288,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-lat-5288/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
91,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 5327,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-lat-5327/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
92,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 11867,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-lat-11867/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
93,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 13069,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-lat-13069/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
94,France,Paris,Latin,,Bibliothèque Nationale de France,lat. 14489,,,,http://xn--paris%2C%20bibliothque%20nationale%20de%20france-fge/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
95,France,Paris,Syriac,,Bibliothèque Nationale de France,syr. 179,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-biblotheque-nationale-de-france-syr-179/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
96,France,Paris,Syriac,,Bibliothèque Nationale de France,syr. 377,,,,http://www.nasscal.com/manuscripta-apocryphorum/paris-bibliotheque-nationale-de-france-syr-377/,http://gallica.bnf.fr/services/engine/search/advancedSearch/
97,Italy,Rome,Greek,,Biblioteca Angelica,gr. 108 (B 2.2),,,,http://www.nasscal.com/manuscripta-apocryphorum/rome-biblioteca-angelica-gr-108-b-2-2/,https://manus.iccu.sbn.it/index.php
98,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Pal. lat. 220,,,,https://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vaticana-pal-lat-220/,
99,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Pal. lat. 430,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-pal-lat-430/,
100,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Pal. lat. 619,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-pal-lat-619/,
101,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Reg. lat. 49,,,,https://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vaticana-reg-lat-49/,
102,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Reg. lat. 648,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-reg-lat-648/,
103,Italy,Rome,Latin,,Biblioteca Apostolica Vaticana,Vat. lat. 348,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-lat-348/,
104,Italy,Rome,Gar__n_,,Biblioteca Apostolica Vaticana,Vat. sir. 211,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-sir-211/,
105,Italy,Rome,Gar__n_,,Biblioteca Apostolica Vaticana,Vat. sir. 212,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-sir-212/,
106,Italy,Rome,Gar__n_,,Biblioteca Apostolica Vaticana,Vat. sir. 213,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-sir-213/,
107,Italy,Rome,Greek,,Biblioteca Apostolica Vaticana,Ottob. gr. 1,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-ottob-gr-1/,
108,Italy,Rome,Greek,,Biblioteca Apostolica Vaticana,Pal. gr. 364,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-pal-gr-364/,
109,Italy,Rome,Greek,,Biblioteca Apostolica Vaticana,Vat. gr. 866,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-gr-866/,
110,Italy,Rome,Greek,,Biblioteca Apostolica Vaticana,Vat. gr. 1989,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-gr-1989/,
111,Italy,Rome,Greek,,Biblioteca Apostolica Vaticana,Vat. gr. 1982,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vaticana-vat-gr-1982/,
112,Italy,Rome,Greek,,Biblioteca Apostolica Vaticana,Vat. gr. 1902,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-vat-gr-1902/,
113,Italy,Rome,Syriac,,Biblioteca Apostolica Vaticana,Borgia sir. 128,,,,http://www.nasscal.com/e-clavis-scriptorium-apocryphorum/vatican-biblioteca-apostolica-borgia-syriac-128/,
114,Italy,Rome,Syriac,,Biblioteca Apostolica Vaticana,Borg. sir. 148,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-borg-sir-148/,
115,Italy,Rome,Syriac,,Biblioteca Apostolica Vaticana,Syr. 159,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-bibliotheca-apostolica-syr-159/,
116,Italy,Rome,Syriac,,Biblioteca Apostolica Vaticana,Syr. 162,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-syr-162/,
117,Italy,Rome,Syriac,,Biblioteca Apostolica Vaticana,Syr. 537,,,,http://www.nasscal.com/manuscripta-apocryphorum/vatican-biblioteca-apostolica-syr-537/,
118,,Saint-Omer,Latin,,Bibliothèque municipale,MS 202,,,,http://www.nasscal.com/manuscripta-apocryphorum/saint-omer-bibliotheque-municipale-ms-202/,
119,Austria,Vienna,Greek,,Österreichische Nationalbibliothek,Cod. Hist. gr. 91,,,,http://www.nasscal.com/manuscripta-apocryphorum/vienna-osterreichische-nationalbibliothek-cod-hist-gr-91/,
120,Austria,Vienna,Italian,,Österreichische Nationalbibliothek,Cod. 2662,,,,http://www.nasscal.com/manuscripta-apocryphorum/vienna-osterreichische-nationalbibliothek-cod-2662/,
121,Austria,Vienna,Latin,,Österreichische Nationalbibliothek,Cod. 550,,,,http://www.nasscal.com/manuscripta-apocryphorum/vienna-osterreichische-nationalbibliothek-cod-550/,
122,Austria,Vienna,Latin,,Österreichische Nationalbibliothek,Cod. 4753,,,,http://www.nasscal.com/manuscripta-apocryphorum/vienna-osterreichische-nationalbibliothek-cod-4753/,
123,Austria,Vienna,Latin,,Österreichische Nationalbibliothek,Cod. 13707,,,,http://www.nasscal.com/manuscripta-apocryphorum/vienna-osterreichische-nationalbibliothek-cod-13707/,
124,Germany,Weinar,Greek,,"Herzogin Anna Amalia Bibliothek,",Q.729,,,,http://www.nasscal.com/manuscripta-apocryphorum/weimar-herzogin-anna-amalia-bibliothek-q-729/,https://haab-digital.klassik-stiftung.de/viewer
125,Germany,Würzburg,Latin,,Universitätsbibliothek,M.p.th.f. 28,,,,http://www.nasscal.com/manuscripta-apocryphorum/wurzburg-universitatsbibliothek-m-p-th-f-28/,http://libri-kiliani.eu/
126,Bulgaria,Sofia,Greek,,C’rkovno-istori_eski i archiven Institut,881,,,,http://www.nasscal.com/manuscripta-apocryphorum/sofia-crkovno-istoriceski-i-archiven-institut-881/,
127,Canada,Toronto,Latin,,Thomas Fisher Rare Book Library,45 frags. 24-25,,,,https://fishercollections.library.utoronto.ca/islandora/object/fisher21%3A94,
128,India,Trichur,Syriac,,Chaldean Syrian Church,Syr. 9,,,,http://www.nasscal.com/manuscripta-apocryphorum/trichur-chaldean-syrian-church-9/,
129,Iran,Tehran,Syriac,,Chaldean Church of St. Joseph,8,,,,http://www.nasscal.com/manuscripta-apocryphorum/tehran-chaldean-church-of-st-joseph-8/,
130,Iraq,Mosul,Syriac,,Mar Behnam Monastery,Sony 20,,,,http://www.nasscal.com/manuscripta-apocryphorum/mosul-mar-behnam-monastery-sony-20/,
131,Iraq,Mosul,Syriac,,Mar Behnam Monastery,Sony 403,,,,http://www.nasscal.com/manuscripta-apocryphorum/mosul-mar-behnam-monastery-sony-403/,
132,Iraq,Mosul,Syriac,,Syrian Orthodox Archdiocese,264,,,,http://www.nasscal.com/manuscripta-apocryphorum/mosul-syrian-orthodox-archdiocese-of-mosul-264/,
133,Iraq,Mosul,Gar__n_,,Syrian Orthodox Archdiocese,208,,,,http://www.nasscal.com/manuscripta-apocryphorum/mosul-syrian-orthodox-archdiocese-of-mosul-208/,
134,Israel,Jerusalem,Greek,,Bibliotheke tou Patriarcheiou,Hagios Saba 259,,,,http://www.nasscal.com/manuscripta-apocryphorum/jerusalem-bibliotheke-tou-patriarcheiou-hagios-saba-259/,
135,Israel,Jerusalem,Greek,,Patriarchik_ biblioth_k_,Panagios Taphos gr. 66,,,,http://www.nasscal.com/manuscripta-apocryphorum/jerusalem-patriarchike-bibliotheke-panagios-taphos-66/,
136,Lebanon,Charfeh,Syriac,,Syrian-Catholic Patriarchate,Fonds Rahmani 42,,,,http://www.nasscal.com/manuscripta-apocryphorum/charfet-syrian-catholic-patriarchate-fonds-rahmani-42/,
137,Lebanon,Charfeh,Syriac,,Syrian-Catholic Patriarchate,Fonds Rahmani 60,,,,http://www.nasscal.com/manuscripta-apocryphorum/charfet-syrian-catholic-patriarchate-fonds-rahmani-60/,
138,Syria,Aleppo,unlisted,,Syriac Orthodox Archdiocese,7077,,,,http://www.nasscal.com/manuscripta-apocryphorum/aleppo-syriac-orthodox-archdiocese-7077/,
139,Turkey,Diyarbakir,Syriac,,Meryem Ana Syriac Orthodox Church,130; 7/12,,,,http://www.nasscal.com/manuscripta-apocryphorum/diyarbakir-meryem-ana-syriac-orthodox-church-130-712/,
140,Turkey,Diyarbakir,Gar__n_,,Meryem Ana Syriac Orthodox Church,243,,,,http://www.nasscal.com/manuscripta-apocryphorum/diyarbakir-meryem-ana-syriac-orthodox-church-243/,
141,Turkey,Mardin,Syriac,,Chaldean Cathedral,5,,,,http://www.nasscal.com/manuscripta-apocryphorum/mardin-chaldean-cathedral-5/,
142,Turkey,Mardin,Syriac,,Church of the Forty Martyrs,101,,,,http://www.nasscal.com/manuscripta-apocryphorum/mardin-church-of-the-forty-martyrs-101/,
143,Turkey,Mardin,Syriac,,Church of the Forty Martyrs,263,,,,http://www.nasscal.com/manuscripta-apocryphorum/mardin-church-of-the-forty-martyrs-263/,
144,Turkey,Mardin,Syriac,,Church of the Forty Martyrs,265,,,,http://www.nasscal.com/manuscripta-apocryphorum/mardin-church-of-the-forty-martyrs-265/,
145,Turkey,Mardin,Syriac,,Church of the Forty Martyrs,281,,,,http://www.nasscal.com/manuscripta-apocryphorum/mardin-church-of-the-forty-martyrs-281/,
146,Turkey,Mardin,Syriac,,Deir al-Zafaran,393,,,,http://www.nasscal.com/manuscripta-apocryphorum/mardin-deir-al-zafaran-393/,
147,United States of America,"Cambridge, Mass.",Coptic,,Harvard Houghton Library,MS Coptic 11,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-mass-harvard-houghton-library-ms-coptic-11/,
148,United States of America,"Cambridge, Mass.",Latin,,Harvard Houghton Library,Lat. 117,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-mass-harvard-houghton-library-lat-117/,
149,United States of America,"Cambridge, Mass.",Syriac,,Harvard Houghton Library,Syr. 35,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-mass-harvard-houghton-library-syr-35/,
150,United States of America,"Cambridge, Mass.",Syriac,,Harvard Houghton Library,Syr. 36,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-mass-houghton-library-syr-36/,
151,United States of America,"Cambridge, Mass.",Syriac,,Harvard Houghton Library,Syr. 39,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-mass-harvard-houghton-library-syr-39/,
152,United States of America,"Cambridge, Mass.",Syriac,,Harvard Houghton Library,Syr. 59,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-mass-harvard-houghton-library-syr-59/,
153,United States of America,"Cambridge, Mass.",Syriac,,Harvard Houghton Library,Syr. 82,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-mass-harvard-houghton-library-syr-82/,
154,United States of America,"Cambridge, Mass.",Syriac,,Harvard Houghton Library,Syr. 93,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-mass-harvard-houghton-library-syr-93/,
155,United States of America,"Cambridge, Mass.",Syriac,,Harvard Houghton Library,Syr. 129,,,,http://www.nasscal.com/manuscripta-apocryphorum/cambridge-mass-harvard-houghton-library-syr-129/,
156,United States of America,New Haven,Latin,,Beinecke Rare Book and Manuscript Library,Marston 49,,,,http://www.nasscal.com/manuscripta-apocryphorum/new-haven-beinecke-rare-book-and-manuscript-library-marston-49/,https://brbl-dl.library.yale.edu/vufind/
157,United States of America,New York City,Coptic,,Morgan Library and Museum,M593,,,,http://www.nasscal.com/manuscripta-apocryphorum/new-york-morgan-library-and-museum-m593/,http://www.themorgan.org/manuscripts/lis
158,United States of America,New York City,Coptic,,Morgan Library and Museum,M610,,,,http://www.nasscal.com/manuscripta-apocryphorum/new-york-morgan-library-and-museum-m610/,http://www.themorgan.org/manuscripts/lis
159,United States of America,New York City,Coptic,,Morgan Library and Museum,M614,,,,http://www.nasscal.com/manuscripta-apocryphorum/new-york-morgan-library-and-museum-m614/,http://www.themorgan.org/manuscripts/lis
160,United States of America,"Washington, D.C.",unlisted,,Smithsonian Freer Gallery of Art,6.274,,,,http://www.nasscal.com/manuscripta-apocryphorum/washington-d-c-smithsonian-freer-gallery-of-art-06-274/,
,,,,,,,,,,,
0,Egypt,Red Sea Coast,,,"Dayr al-Anba Antunyus, Egypt (Monastery of St. Anthony)",,,,,,
0,Egypt,Wadi al-Natrun,,,"Dayr al-Sury_n, Wadi al-Natrun, Egypt (“Monastery of the Syrians”)",,,,,,
0,Egypt,,,,Franciscan Center for Oriental Christian Studies,,,,,,
0,Italy,Florence,,,,,,,,,
0,Netherlands,Leiden,,,,,,,,,
0,Germany,Leipzig,,,,,,,,,
0,Germany,Münster,,,,,,,,,
0,United Kingdom,Oxford,,,Bodleian,,,,,,
0,,Paderborn,,,,,,,,,
0,Iraq,‘Aqra,,,,,,,,,
0,Iraq,Kirkuk,,,,,,,,,
0,Jordan,Beirut,,,,,,,,,
0,Russia,Saint Petersburg,,,,,,,,,
0,Syria,Damascus,,,,,,,,,
0,Turkey,Alqosh,,,Notre-Dame-des-Semences,,,,,,
0,Turkey,Seert,,,,,,,,,
0,Turkey,Urmia,,,Oroomiah College,,,,,,
0,United States of America,Chicago,,,,,,,,,
0,United States of America,Princeton,,,,,,,,,